Name,Sector,Sub-Sector,Market Cap,Return on Equity,ROCE,Cash Flow Margin,EBITDA Margin,Net Profit Margin,Return on Assets,Asset Turnover Ratio,Working Capital Turnover Ratio,Current Ratio,Debt to Equity,PE Ratio,PB Ratio,Sector PE,Sector PB,PS Ratio,Sector Dividend Yield,Return on Investment,MF Holding Change 3M,MF Holding Change 6M,FII Holding Change 3M,FII Holding Change 6M,DII Holding Change 3M,DII Holding Change 6M,EPS (Q),Dividend Per Share,Debt to Equity ,Debt to Asset,R1,R2
Shekhawati Industries Ltd,Consumer Discretionary,Textiles,143.6,,972.18,4.3,56.5,53.56,202.15,3.77,-2.62,1.22,0.12,0.93,19.75,38.85,6.76,0.5,0.49,1899.26,0,0,0,0,0,0,0.7,0,0.12,0.02,0,2
Machino Plastics Ltd,Consumer Discretionary,Textiles,143.23,6.99,14.13,6.26,7.73,1.09,1.93,1.77,-13.29,0.84,1.62,38.82,2.62,38.85,6.76,0.42,0.49,7.25,0,0,0,0,0,0,3.45,0,1.62,0.43,0,1
Deepak Spinners Ltd,Consumer Discretionary,Textiles,141.16,0.56,2.39,5.68,4.79,0.28,0.37,1.35,8.41,1.53,0.19,107.76,0.6,38.85,6.76,0.3,0.49,1.87,0,0,0,0,0,0,-7.62,0.5,0.19,0.12,0,0
Party Cruisers Ltd,Consumer Discretionary,Textiles,140.11,23.34,26.61,8.7,16.3,9.81,18.38,1.87,4.64,3.72,0.04,22.35,4.51,38.85,6.76,2.19,0.49,19.62,-,0,-,0,-,0,-,0,0.04,0.03,0,2
Globe Textiles (India) Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",135.13,7.25,16.72,2,5.3,1.33,2.36,1.77,6.31,1.7,0.61,23.54,1.3,38.85,6.76,0.31,0.49,10.5,0,0,0,0,0,0,0.13,0,0.61,0.26,0,1
Sal Automotive Ltd,Consumer Discretionary,Auto Parts,134.25,13.82,22.77,3.54,4.44,1.65,4.21,2.55,140.54,1.03,0.69,26.32,3.46,38.85,6.76,0.44,0.49,12.04,0,0,0,0,0,0,6.17,4.5,0.69,0.24,0,2
Setco Automotive Ltd,Consumer Discretionary,Textiles,132.7,,10.31,10.94,11.54,-17.82,-19.94,1.12,365.58,1.07,,-1.18,-0.23,38.85,6.76,0.21,0.49,-,0,0,0,0,0,0,-2.19,0,-1.74,1.78,0,2
Gokak Textiles Ltd,Consumer Discretionary,Wellness Services,131.45,,2.73,9.25,18.76,-10.64,-4.71,0.44,-1.57,0.42,,-8.61,-3.7,38.85,6.76,0.92,0.49,-,0,0,0,0,-0.01,-0.01,-7.76,0,-7.54,0.85,0,2
Ahlada Engineers Ltd,Consumer Discretionary,Home Furnishing,127.4,10.37,16.94,-0.08,14.15,5.25,6.4,1.22,4.86,1.75,0.31,9.33,0.93,38.85,6.76,0.49,0.49,10.18,0,0,0.02,-0.01,0.07,0.07,1.45,1.6,0.31,0.19,0,2
Binayak Tex Processors Ltd,Consumer Discretionary,Textiles,127.32,6.15,10.66,10.54,8.01,2.63,2.72,1.03,22.76,1.1,0.6,22.9,1.37,38.85,6.76,0.6,0.49,6.71,0,0,0,0,0,0,6.12,0,0.6,0.27,1,0
Arihant Academy Ltd,Consumer Discretionary,Auto Parts,127.28,7.54,8.46,26.15,10.11,4.88,4.85,0.99,2.87,1.68,0,82.65,6,38.85,6.76,4.03,0.49,7.45,-,0,-,0,-,0,1.31,1,0,0,1,0
Bhilwara Spinners Ltd,Consumer Discretionary,Education Services,126.75,4.91,2.32,-91.22,20,15.66,2.74,0.18,1.15,5.01,1.21,73.27,2.91,38.85,6.76,11.47,0.49,1.9,0,0,-0.05,-0.06,0,0,1.84,0,1.21,0.54,1,0
Amarjothi Spinning Mills Ltd,Consumer Discretionary,Textiles,126.66,4.37,8.61,4.2,14.75,4.04,2.81,0.69,2.32,2.6,0.34,15.48,0.65,38.85,6.76,0.63,0.49,5.94,0,0,0,0,0,0,4.87,2.2,0.34,0.21,0,1
Macobs Technologies Ltd,Consumer Discretionary,Textiles,126.16,35.99,32.01,-10.94,17.2,10.65,21.69,2.04,4.62,3.03,0.25,57.09,12.83,38.85,6.76,6.08,0.49,21.17,-,0,-,4.77,-,-32.22,-,0,0.25,0.17,0,2
Chandrima Mercantiles Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",124.65,1.13,0.47,27.83,1.39,1.39,0.57,0.41,-5.98,0.63,0.07,461.67,2.61,38.85,6.76,6.41,0.49,0.53,0,0,0,0,0,0,2.9,0,0.07,0.05,0,0
Sky Industries Ltd,Consumer Discretionary,Retail - Online,123.76,10.86,16.73,9.93,10.32,4.97,6.8,1.37,3.61,2.13,0.32,29.97,3.11,38.85,6.76,1.49,0.49,10.31,0,0,0,0,0,0,2.01,1,0.32,0.21,0,1
Krypton Industries Ltd,Consumer Discretionary,Tires & Rubber,122.77,3.76,8.61,0.9,11.89,2.74,2.14,0.78,2.11,2.3,0.52,104.04,3.84,38.85,6.76,2.85,0.49,6.11,0,0,0,0,0,0,0.27,0,0.52,0.29,0,0
Womancart Ltd,Consumer Discretionary,Textiles,121.09,28.88,22.53,-32.99,14.01,9.54,17.81,1.87,3.44,2.5,0.4,42.64,7.33,38.85,6.76,4.07,0.49,13.8,-,0,-,0,-,-1.29,-,0,0.4,0.25,0,2
Fiberweb (India) Ltd,Consumer Discretionary,Auto Parts,120.93,4.62,5.27,0.72,14.37,8.38,4.28,0.51,2.31,5.26,0.04,16.61,0.75,38.85,6.76,1.39,0.49,5,0,0,-0.01,-0.01,0,0,1.01,0,0.04,0.04,0,2
G. G. Automotive Gears Ltd,Consumer Discretionary,Textiles,120.55,16.35,17.53,12.45,13.04,4.62,5.81,1.26,15.6,1.25,0.86,27.27,3.8,38.85,6.76,1.26,0.49,11.26,0,0,0,0,0,0,1.84,0,0.86,0.34,0,1
Tokyo Plast International Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",118.33,1.7,3.84,13.07,8,1.52,1.13,0.75,3.06,1.69,0.32,117.16,1.97,38.85,6.76,1.78,0.49,2.84,0,0,0,0.01,0,0,0.41,0,0.32,0.21,0,0
Divyadhan Recycling Industries Ltd,Consumer Discretionary,Textiles,118.1,22.01,28.61,3.74,9.64,3.99,10.85,2.72,113.71,1.14,0.47,50.04,9.15,38.85,6.76,2,0.49,15.92,-,-,-,-,-,-,-,0,0.47,0.25,0,1
Lahoti Overseas Ltd,Consumer Discretionary,Apparel & Accessories,117.82,6.59,9.85,-7.3,4.42,2.43,5.69,2.34,3.8,6.14,0.05,9.76,0.62,38.85,6.76,0.24,0.49,6.92,0,0,0,0,0,0,1.57,0.2,0.05,0.05,0,1
Jasch Industries Ltd,Consumer Discretionary,Textiles,115.19,31.19,32.58,2.25,12.82,9.02,19.83,2.2,6.6,2.27,0.23,7.12,2.04,38.85,6.76,0.64,0.49,24.95,0,0,0,0,-1.34,-1.34,1.96,0,0.23,0.15,0,2
Yarn Syndicate Ltd,Consumer Discretionary,Textiles,114.34,4.25,4.2,-526.65,37.47,15.03,1.03,0.07,1.05,1.1,0.54,152.45,3.2,38.85,6.76,22.91,0.49,2.16,0,0,0,0,0,0,-0.55,0,0.54,0.13,0,2
Avi Ansh Textile Ltd,Consumer Discretionary,Housewares,113.91,23.36,21.81,-8.76,6.78,2.34,5.92,2.53,18.75,1.26,2.82,34.31,7.18,38.85,6.76,0.8,0.49,9.21,-,0,-,0,-,-4.32,1.21,0,2.82,0.69,0,2
Travels & Rentals Ltd,Consumer Discretionary,Textiles,113.37,26.77,27.47,-30.1,60.57,36.94,14.42,0.39,1.13,2.38,0.32,38.17,7.67,38.85,6.76,14.1,0.49,18.37,-,-,-,-,-,-,0.87,0,0.32,0.19,1,2
Akar Auto Industries Ltd,Consumer Discretionary,Textiles,113.27,19.13,24.74,6.69,6.45,1.47,3.99,1.86,16.48,1.17,1.87,20.56,2.55,38.85,6.76,0.3,0.49,16.23,0,0,0,0,0,0,1.42,0.6,1.87,0.38,1,0
Shanti Spintex Ltd,Consumer Discretionary,Textiles,113.15,18.24,19.08,1.37,5.11,2.57,7.04,2.74,14.87,1.5,0.26,8.7,1.31,38.85,6.76,0.22,0.49,14.93,-,0,-,-0.94,-,-2.08,-,0,0.26,0.11,1,0
Aarvee Denims and Exports Ltd,Consumer Discretionary,Textiles,112.77,-113.49,-22.33,120.35,-26.92,-48.83,-9.23,0.19,-1.49,0.7,16.14,-2.53,6.56,38.85,6.76,1.23,0.49,-2.7,0,0,0.37,0.37,-2.1,-2.1,9.63,0,16.14,0.63,0,0
KG Petrochem Ltd,Consumer Discretionary,Auto Parts,112.23,0.54,5.41,7.05,6.8,0.28,0.26,0.93,6.2,1.33,0.69,120.67,0.64,38.85,6.76,0.33,0.49,2.98,0,0,0,0,0,0,3.74,0,0.69,0.34,1,0
Nagreeka Exports Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",111.5,4.61,10.05,-0.4,4.63,1.07,1.77,1.66,8.18,1.47,1.13,18.58,0.76,38.85,6.76,0.2,0.49,6.14,0,0,0,0,0,0,0.44,0,1.13,0.48,0,0
Paras Petrofils Ltd,Consumer Discretionary,Textiles,110.63,-1.66,-1.78,-13.85,-27.69,-28.46,-1.66,0.06,0.09,784,0,-298.99,5.46,38.85,6.76,85.1,0.49,-1.78,0,0,0,0,0,0,0.01,0,0,0,0,0
Patdiam Jewellery Ltd,Consumer Discretionary,Textiles,110.32,10.89,16.8,-3.92,10.23,5.79,8.76,1.51,2.05,5.93,0.05,17.88,1.85,38.85,6.76,1.04,0.49,12.36,-,0,-,0,-,0,-,0,0.05,0.04,0,2
Trident Texofab Ltd,Consumer Discretionary,Textiles,108.4,6.87,17.54,2.7,8.58,1.08,1.36,1.26,10.39,1.23,2.47,100.37,6.67,38.85,6.76,1.08,0.49,12.17,0,0,0,0,0,0,1,0,2.47,0.49,1,0
Aspire & Innovative Advertising Ltd,Consumer Discretionary,Textiles,107.76,35.51,30.96,-1.75,3.61,2.42,10.36,4.29,15.2,1.47,0.35,11.59,2.92,38.85,6.76,0.28,0.49,20.43,-,-,-,-,-,-,-,0,0.35,0.11,0,2
APM Industries Ltd,Consumer Discretionary,Auto Parts,107.65,2.45,2.98,2.65,4.65,1.38,1.67,1.21,8.78,1.9,0.17,25.81,0.63,38.85,6.76,0.36,0.49,3.32,0,0,0,0,0,0,0.01,0.5,0.17,0.11,0,0
Forge Auto International Ltd,Consumer Discretionary,Home Electronics & Appliances,107.02,,32.23,4.67,8.8,3.7,,3.58,-,1.04,1.94,15.95,5.14,38.85,6.76,0.59,0.49,17.64,-,-,-,-,-,-,-,0,1.94,0.4,1,0
Aditya Consumer Marketing Ltd,Consumer Discretionary,Textiles,103.9,-11.74,-9.53,6.02,-0.13,-3.26,-7.05,2.16,9.05,1.75,0.26,-33.95,4.24,38.85,6.76,1.11,0.49,-7.4,-,0,-,0,-,0.07,0.64,0,0.26,0.16,0,0
Damodar Industries Ltd,Consumer Discretionary,Restaurants & Cafes,103.29,4.45,15.97,9.47,7.77,0.7,1.21,1.71,17.86,1.15,2.22,19.79,0.86,38.85,6.76,0.14,0.49,9.03,0,0,0,0,0,0,0.32,0,2.22,0.63,0,0
Vippy Spinpro Ltd,Consumer Discretionary,Retail - Speciality,102.7,5.92,8.35,-5.22,7.43,1.74,3.32,1.91,6.49,1.95,0.82,23.55,1.35,38.85,6.76,0.41,0.49,5.26,0,0,0,0,0,0,3.13,0,0.82,0.42,0,1
Anjani Foods Ltd,Consumer Discretionary,Textiles,102.07,10.34,10.18,13.68,8.93,3.11,4.23,1.36,-403.04,0.9,0.56,70.88,6.97,38.85,6.76,2.2,0.49,9.57,0,0,0,0,0,0,0.1,0,0.56,0.22,0,1
Moksh Ornaments Ltd,Consumer Discretionary,Footwear,97.82,12.79,25.29,-4.08,3.09,1.39,9.5,6.99,8.8,3.16,0.54,15.63,1.92,38.85,6.76,0.22,0.49,10.58,0,0,-0.02,0.1,0,0,0.42,0,0.54,0.35,0,2
Phoenix International Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",96.49,0.69,2.48,78.19,50.52,8.6,0.52,0.06,1,1.82,0.22,40.37,0.28,38.85,6.76,3.47,0.49,2.22,0,0,0,0,-0.12,-0.12,0.42,0,0.22,0.17,0,2
Porwal Auto Components Ltd,Consumer Discretionary,Animation,93.35,6.35,11.12,6.02,8.69,2.62,4.8,1.83,45.82,1.15,0.09,24.18,1.49,38.85,6.76,0.63,0.49,9.06,0,0,0,0,0,0,0.34,0,0.09,0.07,0,1
Mittal Life Style Ltd,Consumer Discretionary,Textiles,92.33,5.4,6.81,-2.98,3.6,2.5,4.81,1.93,2.25,7.11,0.02,53.68,2.82,38.85,6.76,1.34,0.49,5.31,0,0,0,0,0,0,0.03,0,0.02,0.02,0,1
Balgopal Commercial Ltd,Consumer Discretionary,Auto Parts,91.1,59.79,49.39,47.23,49.03,45.6,50.22,1.1,3.62,2.23,0,6.93,3.19,38.85,6.76,3.16,0.49,46.01,0,0,0,0,0,0,2.35,0,0,0,1,2
Picturepost Studios Ltd,Consumer Discretionary,Apparel & Accessories,90.83,,56.61,5.42,24.19,13.2,,2.39,-,0.8,0.79,31.11,12.98,38.85,6.76,4.11,0.49,26.75,0,-,7.45,-,-2.45,-,-,0,0.79,0.3,0,2
Swarnsarita Jewels India Ltd,Consumer Discretionary,Retail - Apparel,88.81,3.98,11.54,0.62,2.02,0.62,1.96,3.15,7.29,2.03,0.88,18.58,0.72,38.85,6.76,0.12,0.49,5.82,0,0,0,0,0,0,2.99,0,0.88,0.45,1,0
C P S Shapers Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",88.81,471.15,18.11,3.03,9.09,2.02,16.21,1.69,5.74,1.78,0.77,121.66,7.41,38.85,6.76,2.45,0.49,28.31,-,0,-,0,-,0.29,-,0,0.77,0.36,0,2
Acknit Industries Ltd,Consumer Discretionary,Apparel & Accessories,88.39,11.47,17.45,-3.86,7.91,3.87,5.94,1.53,6.07,1.53,0.74,10.33,1.12,38.85,6.76,0.4,0.49,8.21,0,0,0,0,0,0,6.53,1.5,0.74,0.38,1,1
Archies Ltd,Consumer Discretionary,Apparel & Accessories,88,-7.95,-2.9,4.76,6.7,-9.79,-4.73,0.48,2.53,1.64,0.57,-10.72,0.89,38.85,6.76,1.05,0.49,-2.06,0,0,-0.3,-0.3,0,0,-0.3,0,0.57,0.33,0,0
Banaras Beads Ltd,Consumer Discretionary,Retail - Speciality,87.43,5.16,7.22,-11.31,16.63,9,4.77,0.53,0.87,9.25,0.06,31.68,1.61,38.85,6.76,2.85,0.49,5.25,0,0,0,0,0,0,2.09,2,0.06,0.06,1,1
Celebrity Fashions Ltd,Consumer Discretionary,Textiles,85.62,4.86,21.09,8.48,5.72,0.54,1.14,2.12,21.09,1.19,1.59,46.53,2.2,38.85,6.76,0.25,0.49,11.37,0,0,-0.14,0.01,0,0,-1.51,0,1.59,0.44,0,0
Everlon Financials Ltd,Consumer Discretionary,Textiles,84.94,54.4,46.61,-13.69,89.44,78.3,53.36,0.68,0.76,68.07,0,10.6,4.37,38.85,6.76,8.3,0.49,41.18,0,0,0,0,0,0,0.7,0,0,0,0,2
Gujarat Hotels Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",82.51,11.2,12.75,45.5,93.21,74.57,10.57,0.14,0.15,49.6,0,17.48,1.87,38.85,6.76,13.03,0.49,10.69,0,0,0,0,0,0,1.9,2.5,0,0,0,2
Silgo Retail Ltd,Consumer Discretionary,Apparel & Accessories,81.48,7.43,10.27,4.45,15.99,8.98,5.46,0.61,0.8,6.94,0.13,25.87,1.51,38.85,6.76,2.32,0.49,7.38,0,0,0,0,0,0,0.5,0,0.13,0.11,0,1
Minal Industries Ltd,Consumer Discretionary,Textiles,80.6,-4.61,-2.04,-2.61,-2.36,-7.02,-3.22,0.46,0.67,4.49,0.22,-28.58,1.32,38.85,6.76,2.01,0.49,-3.53,0,0,0,0,0,0,0.02,0,0.22,0.15,0,0
Vinny Overseas Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",80.49,11.94,17.38,14.3,9.56,3.11,5.47,1.76,12.82,1.15,0.5,22.8,2.57,38.85,6.76,0.71,0.49,11.23,0,0,0,0,0,0,0.01,0,0.5,0.24,1,1
Flora Textiles Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",80.42,,-10283.33,-100.77,95.39,93.39,1321.74,14.15,-43.4,0.78,,13.23,-12.55,38.85,6.76,12.35,0.49,-,0,0,0,0,0,0,-0.08,0,-0.99,30.19,0,2
Saj Hotels Ltd,Consumer Discretionary,Home Furnishing,79.82,3.97,5.13,32.62,46.91,23.83,3.52,0.15,-2.44,0.47,0.03,23,0.9,38.85,6.76,5.48,0.49,3.87,-,0,-,0.36,-,-15.87,-,-,0.03,0.03,0,2
Shiva Mills Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",79.76,-3.32,-3.23,-10.9,2.24,-2.05,-2.72,1.33,5.02,2.26,0.11,-24.54,0.83,38.85,6.76,0.5,0.49,-2.34,0,0,-0.05,-0.04,0,0,-0.99,0,0.11,0.08,0,0
Riba Textiles Ltd,Consumer Discretionary,Textiles,79.05,9.26,13.01,8.1,8.1,3.2,4.61,1.44,12.45,1.33,0.76,9.99,0.88,38.85,6.76,0.32,0.49,8,0,0,0,0,0,0,1.17,0,0.76,0.38,0,1
Omfurn India Ltd,Consumer Discretionary,Textiles,78.3,9.4,13.11,6.56,10.4,4.51,5.19,1.15,3.12,2.19,0.29,21.34,1.5,38.85,6.76,0.96,0.49,8.63,0,0,5.89,5.89,-25.46,1.14,-,0,0.29,0.18,1,0
Lead Reclaim and Rubber Products Ltd,Consumer Discretionary,Textiles,78.15,12.18,10.16,-5.25,12.37,2.49,7.45,0.87,2.62,1.85,0.37,211.22,6.99,38.85,6.76,5.25,0.49,8.09,-,0,-,0,-,0,-,0,0.37,0.22,0,2
Royale Manor Hotels and Industries Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",78.08,7.66,10.23,9,29.58,16.8,6.14,0.37,3.3,2.06,0.15,18.5,1.34,38.85,6.76,3.11,0.49,7.53,0,0,0,0,0,0,0.2,0,0.15,0.12,1,0
IFL Enterprises Ltd,Consumer Discretionary,Tires & Rubber,78.03,3.4,5.03,-19.66,15.52,8.67,3,0.35,0.4,9.01,0.01,90.74,3.05,38.85,6.76,7.87,0.49,3.39,0,0,0,0,0,0,0,0,0.01,0.01,1,1
Viaz Tyres Ltd,Consumer Discretionary,Tires & Rubber,77.18,7.34,11.71,7.22,10.67,4.67,4.9,1.05,2.31,2.52,0.4,32.57,2.31,38.85,6.76,1.52,0.49,7.47,-,0,-,0,-,0,-,0,0.4,0.27,0,1
Bang Overseas Ltd,Consumer Discretionary,Apparel & Accessories,76.68,-8.95,-7.22,-9.58,-4.04,-6.12,-5.17,0.84,1.98,2.14,0.34,-9.16,0.86,38.85,6.76,0.56,0.49,-5.74,0,0,0.05,0.05,0,0,-3.22,0,0.34,0.19,1,0
Pentagon Rubber Ltd,Consumer Discretionary,Textiles,72.59,23.49,15.88,-21.39,12.39,7.67,10.02,1.31,2.14,4.27,0.83,16.31,2.48,38.85,6.76,1.25,0.49,9.76,-,0,-,-0.1,-,0,1.75,0,0.83,0.43,0,2
Rasandik Engineering Industries India Ltd,Consumer Discretionary,Textiles,72.21,7.35,12.23,2.07,19.13,6.13,3.42,0.56,-4.59,0.76,0.4,10.14,0.72,38.85,6.76,0.62,0.49,11.73,0,0,0,0,0,0,2.45,0,0.4,0.22,1,1
Tree House Education and Accessories Ltd,Consumer Discretionary,Auto Parts,71.72,-1.8,0.05,-9.33,10,-42.58,-1.75,0.04,0.54,4.79,0,-18.92,0.34,38.85,6.76,8.06,0.49,-1.82,0,0,0,0,0,0,-0.16,0,0,0,0,0
Kranti Industries Ltd,Consumer Discretionary,Textiles,71.63,1.74,4.58,-0.6,10.51,0.6,0.67,1.1,-4546,1.15,1.14,130.24,2,38.85,6.76,0.79,0.49,5.76,0,0,0,0,0,0,-0.85,0,1.14,0.45,1,0
Ashnoor Textile Mills Ltd,Consumer Discretionary,Education Services,71.42,12.3,17.09,7.72,14.21,5.45,5.04,0.92,3.08,1.66,1.18,9.63,1.11,38.85,6.76,0.52,0.49,9.1,0,0,0,0,0,-0.03,2.92,0,1.18,0.48,0,2
SVP Global Textiles Ltd,Consumer Discretionary,Auto Parts,70.71,-92.31,-14.23,58.44,-39.01,-143.06,-11.77,0.08,2.74,0.93,10.71,-0.16,0.29,38.85,6.76,0.23,0.49,-8.07,0,0,0,0,0,0,-8.46,0,10.71,0.74,0,0
United Cotfab Ltd,Consumer Discretionary,Auto Parts,70.48,,27.06,6.48,15.5,7.5,,2.83,-,1.39,3.42,8.14,5.07,38.85,6.76,0.61,0.49,19.59,0,-,6.19,-,-0.31,-,-,0,3.42,0.58,0,2
Veeram Securities Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",69.89,11.81,14.91,-0.61,16.96,12.6,11.35,0.9,1.99,12.9,0,28.41,3.17,38.85,6.76,3.58,0.49,11.15,0,0,0,0,0,0,0.09,0,0,0,1,1
Anjani Synthetics Ltd,Consumer Discretionary,Textiles,69.25,5.27,10.91,5.03,4.65,1.66,2.39,1.44,4.44,1.75,0.53,16.29,0.84,38.85,6.76,0.27,0.49,7.05,0,0,0,0,0,0,0.36,0,0.53,0.27,0,1
Shangar Decor Ltd,Consumer Discretionary,Home Furnishing,69.04,10.86,7,38.92,18.85,5.85,3,0.51,3.16,1.29,1.15,90.84,9.37,38.85,6.76,5.31,0.49,5.11,0,0,0,0,0,0,0.46,0,1.15,0.3,0,2
Shree Rajasthan Syntex Ltd,Consumer Discretionary,Textiles,68.99,,379.69,36.73,77.35,74.95,149.22,1.99,-1.41,0.22,0.78,0.62,4.28,38.85,6.76,0.46,0.49,397.59,0,-0.01,0,0,0,-0.01,-0.81,0,0.78,0.25,0,2
Signoria Creation Ltd,Consumer Discretionary,Apparel & Accessories,68.99,21.87,17.8,-7.05,21.36,12.37,8.87,0.72,2.24,2.2,0.62,28.51,4.23,38.85,6.76,3.53,0.49,12.04,-,-,-,-,-,-,2.3,0,0.62,0.32,1,2
Anand Rayons Ltd,Consumer Discretionary,Textiles,67.43,9.05,17.15,4.74,2.14,0.91,4.18,4.59,8.7,2.22,0.8,21.47,1.86,38.85,6.76,0.2,0.49,9.24,0,0,0,0,0,0,0.71,0,0.8,0.39,0,1
Nandani Creation Ltd,Consumer Discretionary,Textiles,65.89,1.8,6.8,-14.79,10.97,1.16,0.9,0.78,1.52,2.36,0.85,124.32,2.21,38.85,6.76,1.44,0.49,5.55,0,0,0.52,0.52,0,0,0.79,0,0.85,0.37,0,0
Padam Cotton Yarns Ltd,Consumer Discretionary,Textiles,65.4,27.62,28.53,119.75,50.63,42.03,27.04,0.64,0.99,155.5,0,39.39,9.33,38.85,6.76,16.56,0.49,23.68,0,0,0,0,0,0,8.37,0,0,0,1,2
K G Denim Ltd,Consumer Discretionary,Apparel & Accessories,65.3,-83.43,-16.07,3.1,1.67,-9.48,-6.33,0.67,-3.37,0.71,11.56,-2.55,3.46,38.85,6.76,0.24,0.49,-0.02,0,0,0,0,0,0,-1.02,0,11.56,0.54,0,0
Swasti Vinayaka Synthetics Ltd,Consumer Discretionary,Textiles,64.53,10.1,11.48,-8.99,11.25,6.4,5.69,0.89,1.77,4.15,0.04,32.59,3.13,38.85,6.76,2.09,0.49,11.72,0,0,0,0,0,0,0.07,0,0.04,0.02,0,2
Katare Spinning Mills Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",64.13,-1.59,-1.49,-4.6,-10.57,-43.22,-1.53,0.04,14.03,0.95,0.03,-34.11,0.55,38.85,6.76,14.74,0.49,-1.3,0,0,0,0,0,0,-1.47,0,0.03,0.03,0,0
Humming Bird Education Ltd,Consumer Discretionary,Textiles,63.48,-2.11,6.25,5.4,2.96,-0.7,-1.64,2.35,3.01,3.54,0,-1586.9,36.48,38.85,6.76,11.06,0.49,-2.3,-,0,-,0,-,0,0.02,0,0,0,0,0
Growington Ventures India Ltd,Consumer Discretionary,Education Services,62.46,6.36,12.22,-13.1,6.68,3.25,4.36,1.34,2.01,2.56,0.16,54.79,3.36,38.85,6.76,1.78,0.49,5.89,0,0,0,0,0,0,0.03,0,0.16,0.1,0,1
GTN Industries Ltd,Consumer Discretionary,Apparel & Accessories,62.39,-6.85,-3.48,3.77,-0.15,-3.38,-4.19,1.24,3.3,2.68,0.46,-9.89,0.71,38.85,6.76,0.33,0.49,-1.56,0,0,0,0,0,0,0.26,0,0.46,0.28,0,0
Jindal Hotels Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",62.27,11.96,9.57,23.35,27.12,5.51,2.85,0.52,41.12,1,2.52,25.94,2.93,38.85,6.76,1.43,0.49,10.12,0,0,0,0,0,0,-2.05,0,2.52,0.66,0,2
Gini Silk Mills Ltd,Consumer Discretionary,Textiles,61.57,6.75,8.31,7.48,11.9,6.4,4.84,0.76,17.82,1.13,0.18,20.25,1.29,38.85,6.76,1.3,0.49,6.76,0,0,0,0,0,0,0.94,0,0.18,0.14,0,1
Sambandam Spinning Mills Ltd,Consumer Discretionary,Textiles,61.41,-8.22,1.71,11.39,6.1,-3.5,-2.87,0.82,15.5,1.05,1.28,-7.81,0.67,38.85,6.76,0.27,0.49,2.77,0,0,0,0,0,0,-2.59,0,1.28,0.44,0,0
P B M Polytex Ltd,Consumer Discretionary,Textiles,60.54,-5.33,-6.61,-5.71,-2.25,-3.3,-4.48,1.36,2.84,3.95,0.01,-9.37,0.51,38.85,6.76,0.31,0.49,-4.95,0,0,0,0,0,0,-1.56,0,0.01,0.01,1,0
Mono Pharmacare Ltd,Consumer Discretionary,Retail - Speciality,60.25,11.8,14.11,-7.16,5.32,2,3.41,1.7,3.3,2.24,1.47,24.59,2.14,38.85,6.76,0.49,0.49,8.05,0,0,0,0,0,0,-,0,1.47,0.51,0,2
Angel Fibers Ltd,Consumer Discretionary,Retail - Speciality,59,0.19,7.22,6.15,5.99,0.03,0.05,2.13,15.88,1.24,1.81,1180,2.26,38.85,6.76,0.3,0.49,5.88,-,0,-,0,-,0,1.4,0,1.81,0.53,1,0
MM Rubber Company Ltd,Consumer Discretionary,Textiles,58.7,-8.81,-2.84,-2.27,0.37,-3.57,-5.32,1.49,23.07,1.14,0.41,-35.57,3.28,38.85,6.76,1.27,0.49,-4.03,0,0,0,0,0,0,0.22,0,0.41,0.23,0,0
Cell Point (India) Ltd,Consumer Discretionary,Textiles,58.39,3.69,11.49,-2.22,3.2,0.53,1.49,2.82,43.2,1.18,0.68,34.35,0.81,38.85,6.76,0.18,0.49,6.16,0,0,0,0,0,0,0.67,0.25,0.68,0.36,0,0
Arex Industries Ltd,Consumer Discretionary,Textiles,58.08,8.34,12.39,18.59,17.95,4.95,4.92,0.99,5.47,1.94,0.33,22.96,1.84,38.85,6.76,1.14,0.49,9.17,0,0,0,0,0,0,2.1,0,0.33,0.21,0,1
G.S. Auto International Ltd,Consumer Discretionary,Textiles,57.83,3.16,12.6,5.9,6.37,0.45,0.69,1.52,-52.73,0.92,1.56,85.04,2.65,38.85,6.76,0.38,0.49,9.74,0,0,0,0,0,0,0.3,0,1.56,0.35,1,0
Akshar Spintex Ltd,Consumer Discretionary,Textiles,57.49,8.16,11.91,2.68,6.02,1.94,4.59,2.37,17.46,1.58,0.43,16.66,1.31,38.85,6.76,0.32,0.49,7.65,0,0,0,-0.01,0,0,0.01,0.01,0.43,0.26,0,1
